epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6832.44,1.39746,4.50248,0.96384,0.05132,0.14577,0.04086,0.03237,0.79267,3.16447,0.82189,5.96326e-05,5.96326e-05,5.96326e-05
2,9203.18,0.96427,3.00472,0.85149,0.15134,0.39144,0.16589,0.13747,0.65273,2.48205,0.80697,0.000114575,0.000114575,0.000114575
3,11482.4,0.86981,2.43936,0.83986,0.31272,0.57311,0.37298,0.31506,0.62264,1.89165,0.80329,0.000164792,0.000164792,0.000164792
4,13734.6,0.81172,2.0151,0.83404,0.4981,0.67948,0.60197,0.51516,0.58729,1.45964,0.79934,0.000157735,0.000157735,0.000157735
5,15933.8,0.77096,1.69916,0.82853,0.62005,0.75126,0.72525,0.62464,0.57175,1.17634,0.79788,0.000150646,0.000150646,0.000150646
6,71959,0.74035,1.46533,0.82478,0.73335,0.78946,0.81938,0.71181,0.54561,0.97777,0.79476,0.000143558,0.000143558,0.000143558
7,74149.1,0.71566,1.30679,0.82077,0.78715,0.82948,0.86896,0.75644,0.54271,0.84451,0.79435,0.00013647,0.00013647,0.00013647
8,76363.7,0.69779,1.19192,0.81862,0.79196,0.86278,0.88524,0.77404,0.53368,0.77013,0.79288,0.000129381,0.000129381,0.000129381
9,78594.6,0.68212,1.10251,0.81744,0.81903,0.88204,0.90681,0.79943,0.51393,0.70776,0.79076,0.000122293,0.000122293,0.000122293
10,80830.2,0.66657,1.04096,0.81436,0.83603,0.90303,0.92399,0.81648,0.50894,0.65391,0.78981,0.000115204,0.000115204,0.000115204
11,83456.2,0.65578,0.98659,0.81276,0.84853,0.90457,0.93282,0.82803,0.49959,0.62047,0.78881,0.000108116,0.000108116,0.000108116
